Times,Data
0.0,0.0
1.0,0.0
2.0,11.78
3.0,23.974
4.0,29.362
5.0,35.233
6.0,41.093
7.0,41.095
8.0,41.681
9.0,41.098
10.0,41.088
11.0,41.964
12.0,41.079
13.0,41.072
14.0,41.077
15.0,41.085
16.0,41.151
17.0,41.949
18.0,46.936
19.0,41.061
Times,Data
0.0,0.0
1.0,0.0
2.0,17.651
3.0,53.789
4.0,70.345
5.0,81.944
6.0,83.659
7.0,87.77
8.0,93.575
9.0,95.584
10.0,97.07
11.0,93.604
12.0,99.446
13.0,95.558
14.0,93.571
15.0,93.557
16.0,89.565
17.0,93.704
18.0,93.575
19.0,95.495
Times,Data
0.0,0.0
1.0,29.297
2.0,77.399
3.0,104.959
4.0,122.433
5.0,131.198
6.0,134.119
7.0,136.932
8.0,142.824
9.0,145.726
10.0,145.699
11.0,146.564
12.0,145.715
13.0,148.764
14.0,145.66
15.0,148.717
16.0,142.769
17.0,145.627
18.0,142.958
19.0,145.671
Times,Data
0.0,0.0
1.0,35.709
2.0,104.823
3.0,142.326
4.0,160.142
5.0,174.228
6.0,178.212
7.0,183.916
8.0,189.746
9.0,191.585
10.0,195.623
11.0,189.68
12.0,191.534
13.0,192.825
14.0,195.6
15.0,195.57
16.0,197.338
17.0,195.509
18.0,195.532
19.0,191.527
Times,Data
0.0,0.0
1.0,47.413
2.0,124.098
3.0,167.86
4.0,194.665
5.0,212.673
6.0,224.497
7.0,230.806
8.0,230.441
9.0,236.285
10.0,236.231
11.0,242.96
12.0,242.08
13.0,238.718
14.0,240.803
15.0,242.08
16.0,242.015
17.0,242.071
18.0,242.024
19.0,242.015
Times,Data
0.0,0.0
1.0,54.123
2.0,141.313
3.0,200.178
4.0,229.572
5.0,253.098
6.0,258.974
7.0,270.694
8.0,276.695
9.0,277.09
10.0,282.474
11.0,282.452
12.0,288.259
13.0,288.303
14.0,288.227
15.0,288.303
16.0,288.237
17.0,288.181
18.0,288.181
19.0,288.148
Times,Data
0.0,0.0
1.0,0.0
2.0,161.804
3.0,222.931
4.0,263.587
5.0,281.51
6.0,299.048
7.0,310.751
8.0,316.651
9.0,323.963
10.0,328.416
11.0,322.477
12.0,328.278
13.0,329.201
14.0,333.961
15.0,331.683
16.0,330.414
17.0,333.999
18.0,333.948
19.0,328.14
Times,Data
0.0,0.0
1.0,0.0
2.0,70.321
3.0,179.845
4.0,293.08
5.0,321.308
6.0,334.14
7.0,350.451
8.0,362.105
9.0,363.875
10.0,368.578
11.0,375.893
12.0,373.857
13.0,373.643
14.0,375.659
15.0,373.7
16.0,378.946
17.0,378.35
18.0,373.586
19.0,375.571
Times,Data
0.0,0.0
1.0,0.0
2.0,69.681
3.0,196.17
4.0,267.831
5.0,347.104
6.0,372.52
7.0,379.772
8.0,392.248
9.0,401.532
10.0,404.103
11.0,407.46
12.0,410.732
13.0,410.014
14.0,418.894
15.0,409.823
16.0,413.06
17.0,418.615
18.0,418.862
19.0,415.714
Times,Data
0.0,0.0
1.0,0.0
2.0,77.608
3.0,206.886
4.0,289.617
5.0,382.785
6.0,407.907
7.0,422.463
8.0,431.354
9.0,437.263
10.0,443.172
11.0,448.925
12.0,449.602
13.0,454.885
14.0,456.893
15.0,454.586
16.0,460.454
17.0,460.401
18.0,460.366
19.0,454.007
